n;num = [];i;" i < =n";num.push(i * i);i++;" return num"
10;[];0;true;0;0+1=1;[0]
10;[0];1;true;1;1+1=2;[0,1]
10;[0,1];2;true;4;2+1=3;[0,1,4]
10;[0,1,4];3;true;9;3+1=4;[0,1,4,9]
10;[0,1,4,9];4;true;16;4+1=5;[0,1,4,9,16]
10;[0,1,4,9,16];5;true;25;5+1=6;[0,1,4,9,16,25]
10;[0,1,4,9,16,25];6;true;36;6+1=7;[0,1,4,9,16,25]
10;[0,1,4,9,16,25,36];7;true;49;7+1=8;[0,1,4,9,16,25,36,49]
10;[0,1,4,9,16,25,36,49];8;true;64;8+1=9;[0,1,4,9,16,25,36,49,64]
10;[0,1,4,9,16,25,36,49,64];9;true;81;9+1=10;[0,1,4,9,16,25,36,49,64,81]
10;[0,1,4,9,16,25,36,49,64,81];10;true;100;10+1=11;[0,1,4,9,16,25,36,49,64,81,100]
